Rk.,Team,Venue,Year,Park Factor,wOBACon,xwOBACon,BACON,xBACON,HardHit,R,OBP,H,1B,2B,3B,HR,BB,SO,PA
1,Mariners,T-Mobile Park,2023-2025,91,94,98,94,99,96,83,92,89,90,85,64,91,98,117,"39,466"
2,Brewers,American Family Field,2023-2025,96,99,99,98,100,98,92,96,94,94,83,91,108,104,112,"40,445"
3,Twins,Target Field,2023-2025,103,106,101,104,99,101,106,102,101,98,110,111,106,100,107,"40,340"
4,Braves,Truist Park,2023-2025,101,104,104,104,103,103,102,100,102,104,95,98,104,99,107,"39,883"
5,Angels,Angel Stadium,2023-2025,101,102,100,100,99,98,102,100,98,98,87,94,115,104,105,"38,460"
6,Mets,Citi Field,2023-2025,97,96,99,95,98,100,94,98,91,90,89,74,102,114,104,"41,301"
7,Cubs,Wrigley Field,2023-2025,97,97,99,98,100,98,94,98,97,100,87,119,93,101,103,"39,124"
8,Yankees,Yankee Stadium,2023-2025,101,100,104,97,101,104,102,99,94,90,92,49,124,112,102,"42,123"
9,Reds,Great American Ball Park,2023-2025,103,104,98,100,98,95,106,101,99,95,98,76,126,104,102,"40,264"
10,Padres,Petco Park,2023-2025,98,98,99,97,99,99,96,97,97,97,95,58,105,100,102,"41,472"
11,Phillies,Citizens Bank Park,2023-2025,100,101,98,100,99,99,100,99,99,97,96,101,113,96,102,"41,075"
12,White Sox,Rate Field,2023-2025,98,98,98,99,98,96,96,99,98,102,91,76,96,102,101,"41,146"
13,Astros,Daikin Park,2023-2025,101,100,99,100,99,97,102,100,100,100,97,88,104,102,100,"40,832"
14,Rangers,Globe Life Field,2023-2025,99,100,100,98,99,102,98,98,99,98,95,76,112,99,100,"41,067"
15,Guardians,Progressive Field,2023-2025,97,97,98,98,100,97,94,98,99,99,113,75,83,99,100,"40,335"
16,Blue Jays,Rogers Centre,2023-2025,99,98,99,98,99,99,98,99,98,96,107,66,101,99,99,"39,643"
17,Marlins,loanDepot park,2023-2025,102,102,101,103,101,100,104,103,104,105,108,101,93,99,99,"41,166"
18,Tigers,Comerica Park,2023-2025,98,97,98,98,99,98,96,99,98,101,91,137,88,99,99,"39,409"
19,Red Sox,Fenway Park,2023-2025,105,106,100,108,100,101,110,106,107,106,123,92,91,97,99,"40,247"
20,Dodgers,Dodger Stadium,2023-2025,100,100,102,97,101,100,100,98,97,93,95,68,123,100,98,"42,934"
21,Orioles,Oriole Park at Camden Yards,2023-2025,100,101,103,101,102,105,100,99,104,106,96,128,102,91,98,"39,939"
22,Giants,Oracle Park,2023-2025,96,95,98,98,99,101,92,96,101,104,103,130,79,86,97,"39,258"
23,Pirates,PNC Park,2023-2025,100,98,101,100,101,103,100,102,101,103,113,77,81,100,95,"40,917"
24,D-backs,Chase Field,2023-2025,103,102,99,102,101,102,106,103,105,103,117,188,86,100,93,"42,128"
25,Rockies,Coors Field,2023-2025,111,111,101,112,102,101,123,110,115,115,115,204,105,101,92,"40,331"
26,Cardinals,Busch Stadium,2023-2025,100,98,101,100,102,102,100,101,104,107,104,92,89,97,91,"40,213"
27,Nationals,Nationals Park,2023-2025,101,99,100,100,101,99,102,102,104,108,97,100,96,94,89,"39,528"
28,Royals,Kauffman Stadium,2023-2025,103,99,102,100,102,104,106,104,105,104,116,178,85,101,88,"40,291"
